Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Voltage Rating
R_000184,R,20.5 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 20.5 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF2052V,1%,150V
R_000185,R,205 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 205 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF2053V,1%,150V
R_000186,R,2.05 MΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 2.05 MΩ 1% 0805 150V,Panasonic,ERJ-6ENF2054V,1%,150V
R_000187,R,21 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 21 Ω 1% 0805 150V,Panasonic,ERJ-6ENF21R0V,1%,150V
R_000188,R,210 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 210 Ω 1% 0805 150V,Panasonic,ERJ-6ENF2100V,1%,150V
R_000189,R,2.1 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 2.1 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF2101V,1%,150V
R_000190,R,21 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 21 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF2102V,1%,150V
R_000191,R,210 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 210 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF2103V,1%,150V
R_000192,R,2.1 MΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 2.1 MΩ 1% 0805 150V,Panasonic,ERJ-6ENF2104V,1%,150V
R_000193,R,21.5 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 21.5 Ω 1% 0805 150V,Panasonic,ERJ-6ENF21R5V,1%,150V
